index|hira|kana|en|pos|sound|audio|image_hira|image_kana|detail_hira|detail_kana
49|げ|ゲ|ge|Kana|Kana_ge.mp3|db/49/audio.mp3|db/49/hira_ge.png|db/49/kana_ge.png|db/49/detail_hira_ge.png|db/49/detail_kana_ge.png
50|ご|ゴ|go|Kana|Kana_go.mp3|db/50/audio.mp3|db/50/hira_go.png|db/50/kana_go.png|db/50/detail_hira_go.png|db/50/detail_kana_go.png
51|ざ|ザ|za|Kana|Kana_za.mp3|db/51/audio.mp3|db/51/hira_za.png|db/51/kana_za.png|db/51/detail_hira_za.png|db/51/detail_kana_za.png
52|じ|ジ|ji|Kana|Kana_ji.mp3|db/52/audio.mp3|db/52/hira_ji.png|db/52/kana_ji.png|db/52/detail_hira_ji.png|db/52/detail_kana_ji.png
53|ず|ズ|zu|Kana|Kana_zu.mp3|db/53/audio.mp3|db/53/hira_zu.png|db/53/kana_zu.png|db/53/detail_hira_zu.png|db/53/detail_kana_zu.png
54|ぜ|ゼ|ze|Kana|Kana_ze.mp3|db/54/audio.mp3|db/54/hira_ze.png|db/54/kana_ze.png|db/54/detail_hira_ze.png|db/54/detail_kana_ze.png
55|ぞ|ゾ|zo|Kana|Kana_zo.mp3|db/55/audio.mp3|db/55/hira_zo.png|db/55/kana_zo.png|db/55/detail_hira_zo.png|db/55/detail_kana_zo.png
56|だ|ダ|da|Kana|Kana_da.mp3|db/56/audio.mp3|db/56/hira_da.png|db/56/kana_da.png|db/56/detail_hira_da.png|db/56/detail_kana_da.png
57|ぢ|ヂ|di|Kana|Kana_di.mp3|db/57/audio.mp3|db/57/hira_ji2.png|db/57/kana_ji2.png|db/57/detail_hira_ji2.png|db/57/detail_kana_ji2.png
58|づ|ヅ|du|Kana|Kana_du.mp3|db/58/audio.mp3|db/58/hira_zu2.png|db/58/kana_zu2.png|db/58/detail_hira_zu2.png|db/58/detail_kana_zu2.png
59|で|デ|de|Kana|Kana_de.mp3|db/59/audio.mp3|db/59/hira_de.png|db/59/kana_de.png|db/59/detail_hira_de.png|db/59/detail_kana_de.png
60|ど|ド|do|Kana|Kana_do.mp3|db/60/audio.mp3|db/60/hira_do.png|db/60/kana_do.png|db/60/detail_hira_do.png|db/60/detail_kana_do.png
61|ば|バ|ba|Kana|Kana_ba.mp3|db/61/audio.mp3|db/61/hira_ba.png|db/61/kana_ba.png|db/61/detail_hira_ba.png|db/61/detail_kana_ba.png
62|び|ビ|bi|Kana|Kana_bi.mp3|db/62/audio.mp3|db/62/hira_bi.png|db/62/kana_bi.png|db/62/detail_hira_bi.png|db/62/detail_kana_bi.png
63|ぶ|ブ|bu|Kana|Kana_bu.mp3|db/63/audio.mp3|db/63/hira_bu.png|db/63/kana_bu.png|db/63/detail_hira_bu.png|db/63/detail_kana_bu.png
64|べ|ベ|be|Kana|Kana_be.mp3|db/64/audio.mp3|db/64/hira_be.png|db/64/kana_be.png|db/64/detail_hira_be.png|db/64/detail_kana_be.png
65|ぼ|ボ|bo|Kana|Kana_bo.mp3|db/65/audio.mp3|db/65/hira_bo.png|db/65/kana_bo.png|db/65/detail_hira_bo.png|db/65/detail_kana_bo.png
66|ぱ|パ|pa|Kana|Kana_pa.mp3|db/66/audio.mp3|db/66/hira_pa.png|db/66/kana_pa.png|db/66/detail_hira_pa.png|db/66/detail_kana_pa.png
67|ぴ|ピ|pi|Kana|Kana_pi.mp3|db/67/audio.mp3|db/67/hira_pi.png|db/67/kana_pi.png|db/67/detail_hira_pi.png|db/67/detail_kana_pi.png
68|ぷ|プ|pu|Kana|Kana_pu.mp3|db/68/audio.mp3|db/68/hira_pu.png|db/68/kana_pu.png|db/68/detail_hira_pu.png|db/68/detail_kana_pu.png
69|ぺ|ペ|pe|Kana|Kana_pe.mp3|db/69/audio.mp3|db/69/hira_pe.png|db/69/kana_pe.png|db/69/detail_hira_pe.png|db/69/detail_kana_pe.png
70|ぽ|ポ|po|Kana|Kana_po.mp3|db/70/audio.mp3|db/70/hira_po.png|db/70/kana_po.png|db/70/detail_hira_po.png|db/70/detail_kana_po.png
71|きゃ|キャ|kya|Kana|Kana_kya.mp3|db/71/audio.mp3|db/71/hira_kya.png|db/71/kana_kya.png|db/71/detail_hira_kya.png|db/71/detail_kana_kya.png
72|きゅ|キュ|kyu|Kana|Kana_kyu.mp3|db/72/audio.mp3|db/72/hira_kyu.png|db/72/kana_kyu.png|db/72/detail_hira_kyu.png|db/72/detail_kana_kyu.png
